WIREO_COR,WIREO_GERAL
20378 WIRE-O - BOBINA PRETAUNICA-9/16,WIRE-O 9/16
20378 WIRE-O - BOBINA PRETAUNICA-1,"WIRE-O 1"""
20378 WIRE-O - BOBINA PRETAUNICA-3/4,WIRE-O 3/4
20378 WIRE-O - BOBINA PRETAUNICA-5/8,WIRE-O 5/8
20378 WIRE-O - BOBINA PRETAUNICA-7/8,WIRE-O 7/8
20381 WIRE-O - BOBINA PRATAUNICA-7/8,WIRE-O 7/8
20380 WIRE-O - BOBINA BRANCAUNICA-3/4,WIRE-O 3/4
20380 WIRE-O - BOBINA BRANCAUNICA-5/8,WIRE-O 5/8
20380 WIRE-O - BOBINA BRANCAUNICA-7/8,WIRE-O 7/8
20378 WIRE-O - BOBINA PRETAUNICA-1 1/4,WIRE-O 1 1/4
20378 WIRE-O - BOBINA PRETAUNICA-3/8,WIRE-O 3/8
20380 WIRE-O - BOBINA BRANCAUNICA-3/8,WIRE-O 3/8
20380 WIRE-O - BOBINA BRANCAUNICA-1 1/4,WIRE-O 1 1/4
20380 WIRE-O - BOBINA BRANCAUNICA-1,"WIRE-O 1"""
20382 WIRE-O - BOBINA DOURADAUNICA-3/4,WIRE-O 3/4
20382 WIRE-O - BOBINA DOURADAUNICA-7/8,WIRE-O 7/8
20380 WIRE-O - BOBINA BRANCAUNICA-9/16,WIRE-O 9/16
20382 WIRE-O - BOBINA DOURADAUNICA-1 1/4,WIRE-O 1 1/4
20382 WIRE-O - BOBINA DOURADAUNICA-5/8,WIRE-O 5/8
20382 WIRE-O - BOBINA DOURADAUNICA-1,"WIRE-O 1"""
